requirementId,sourceDocument,sourceLocation,sourceType,module,navigationFamily,canonicalRoute,sectionDeepLink,screenWorkspace,capability,businessPurpose,visibleControlAction,workflowStateTransition,dataEntityFields,rolePermission,clinicTenantScope,sourceSystemOwner,privacySensitivityClass,crossModuleContracts,currentProductionCodePath,currentServicePath,currentEvidence,uiImplementationStatus,domainImplementationStatus,crossModuleIntegrationStatus,evidenceAcceptanceStatus,productionStatus,prototypeDisposition,dispositionReason,targetProgrammeWave,acceptanceTestEvidencePath,finalDesignReferenceOrPattern
brdbtn_022556c72a45,public/pulse-html-prototype.html,"{""file"": ""public/pulse-html-prototype.html"", ""startOffset"": 504373, ""endOffset"": 629806, ""startLine"": 2870, ""endLine"": 2870}",brd,M01,Executive,/dashboard,,Executive Command Centre,Named action: View Source Record,"Provide a single cross-clinic overview of operational health, risk, workforce readiness, compliance, finance readiness and unresolved actions. The page should explain why a clinic is green, amber or red and allow the user to open the underlying record in one click.",View Source Record,service-backed transition required for final claim,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,"Named BRD button must map to real action, planned service-backed action, or owner decision",P2,docs/architecture/prototype-parity/,M01 dashboard
brdbtn_3454f80230cf,public/pulse-html-prototype.html,"{""file"": ""public/pulse-html-prototype.html"", ""startOffset"": 504373, ""endOffset"": 629806, ""startLine"": 2870, ""endLine"": 2870}",brd,M01,Executive,/dashboard,,Executive Command Centre,Named action: Create Management Action,"Provide a single cross-clinic overview of operational health, risk, workforce readiness, compliance, finance readiness and unresolved actions. The page should explain why a clinic is green, amber or red and allow the user to open the underlying record in one click.",Create Management Action,service-backed transition required for final claim,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,"Named BRD button must map to real action, planned service-backed action, or owner decision",P2,docs/architecture/prototype-parity/,M01 dashboard
brdbtn_690744bd6d0e,public/pulse-html-prototype.html,"{""file"": ""public/pulse-html-prototype.html"", ""startOffset"": 504373, ""endOffset"": 629806, ""startLine"": 2870, ""endLine"": 2870}",brd,M01,Executive,/dashboard,,Executive Command Centre,Named action: Export Executive Summary,"Provide a single cross-clinic overview of operational health, risk, workforce readiness, compliance, finance readiness and unresolved actions. The page should explain why a clinic is green, amber or red and allow the user to open the underlying record in one click.",Export Executive Summary,service-backed transition required for final claim,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,"Named BRD button must map to real action, planned service-backed action, or owner decision",P2,docs/architecture/prototype-parity/,M01 dashboard
brdbtn_f2c1db142fcf,public/pulse-html-prototype.html,"{""file"": ""public/pulse-html-prototype.html"", ""startOffset"": 504373, ""endOffset"": 629806, ""startLine"": 2870, ""endLine"": 2870}",brd,M01,Executive,/dashboard,,Executive Command Centre,Named action: Save View,"Provide a single cross-clinic overview of operational health, risk, workforce readiness, compliance, finance readiness and unresolved actions. The page should explain why a clinic is green, amber or red and allow the user to open the underlying record in one click.",Save View,service-backed transition required for final claim,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,"Named BRD button must map to real action, planned service-backed action, or owner decision",P2,docs/architecture/prototype-parity/,M01 dashboard
brdbtn_fbc1ae7d4efc,public/pulse-html-prototype.html,"{""file"": ""public/pulse-html-prototype.html"", ""startOffset"": 504373, ""endOffset"": 629806, ""startLine"": 2870, ""endLine"": 2870}",brd,M01,Executive,/dashboard,,Executive Command Centre,Named action: Open My Day,"Provide a single cross-clinic overview of operational health, risk, workforce readiness, compliance, finance readiness and unresolved actions. The page should explain why a clinic is green, amber or red and allow the user to open the underlying record in one click.",Open My Day,service-backed transition required for final claim,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,"Named BRD button must map to real action, planned service-backed action, or owner decision",P2,docs/architecture/prototype-parity/,M01 dashboard
brdbtn_5611ac3286f1,public/pulse-html-prototype.html,"{""file"": ""public/pulse-html-prototype.html"", ""startOffset"": 504373, ""endOffset"": 629806, ""startLine"": 2870, ""endLine"": 2870}",brd,M01,Executive,/dashboard,,Executive Command Centre,Named action: Report a Problem,"Provide a single cross-clinic overview of operational health, risk, workforce readiness, compliance, finance readiness and unresolved actions. The page should explain why a clinic is green, amber or red and allow the user to open the underlying record in one click.",Report a Problem,service-backed transition required for final claim,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,"Named BRD button must map to real action, planned service-backed action, or owner decision",P2,docs/architecture/prototype-parity/,M01 dashboard
brdflow_ffd9f77521ee,public/pulse-html-prototype.html,"{""file"": ""public/pulse-html-prototype.html"", ""startOffset"": 504373, ""endOffset"": 629806, ""startLine"": 2870, ""endLine"": 2870}",brd,M01,Executive,/dashboard,,Executive Command Centre,Workflow: Morning executive review,Morning executive review,,"User opens the platform and lands on Overview with All Clini > The KPI strip loads current red and amber indicators; the us > A filtered detail drawer opens showing affected clinic, pay  > The user clicks Open Source Record and is taken to the relev > After the item is resolved, the dashboard status updates and",,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,Core,P2,docs/architecture/prototype-parity/,M01 dashboard
brdflow_721185805e0c,public/pulse-html-prototype.html,"{""file"": ""public/pulse-html-prototype.html"", ""startOffset"": 504373, ""endOffset"": 629806, ""startLine"": 2870, ""endLine"": 2870}",brd,M01,Executive,/dashboard,,Executive Command Centre,Workflow: Compare clinic performance,Compare clinic performance,,"User opens Clinic Health and selects the comparison period. > The page displays clinic cards ordered by risk or score. > User selects two or more clinics and clicks Compare. > A comparison view shows KPI definitions, current value, tren > User clicks Create Management Action on a weak area, assigns",,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,Core,P2,docs/architecture/prototype-parity/,M01 dashboard
brdflow_72d027049451,public/pulse-html-prototype.html,"{""file"": ""public/pulse-html-prototype.html"", ""startOffset"": 504373, ""endOffset"": 629806, ""startLine"": 2870, ""endLine"": 2870}",brd,M01,Executive,/dashboard,,Executive Command Centre,Workflow: Produce management pack,Produce management pack,,"User opens Reports and chooses Monthly Operations Pack. > A preview shows included clinics, period, KPI sections, unre > User adds management commentary and excludes any section the > User clicks Generate Report, reviews the final preview and e > The generated report is stored in report history with creato",,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,Core,P2,docs/architecture/prototype-parity/,M01 dashboard
brdflow_b74f8442c52c,public/pulse-html-prototype.html,"{""file"": ""public/pulse-html-prototype.html"", ""startOffset"": 504373, ""endOffset"": 629806, ""startLine"": 2870, ""endLine"": 2870}",brd,M01,Executive,/dashboard,,Executive Command Centre,Workflow: Role-Based My Day User Journey,Role-Based My Day User Journey,,"User signs in and lands on My Day for the default clinic and > The page displays today's shift, clocking status, opening/cl > The user selects the next required action, such as Clock In, > Completed items leave the urgent area and remain visible in  > Unfinished items are included in the next handover or manage > The user may switch clinic or date only where access permits",,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,Expanded,P2,docs/architecture/prototype-parity/,M01 dashboard
brdrule_dbb68476b0d6,public/pulse-html-prototype.html,,brd,M01,Executive,/dashboard,,,Business rule,"Every KPI must have a documented definition, owner and threshold.",,,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,BRD business rule,P2,docs/architecture/prototype-parity/,
brdrule_d6ec4e413dd0,public/pulse-html-prototype.html,,brd,M01,Executive,/dashboard,,,Business rule,A red/amber status must show the contributing records rather than an unexplained score.,,,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,BRD business rule,P2,docs/architecture/prototype-parity/,
brdrule_4e817df12e60,public/pulse-html-prototype.html,,brd,M01,Executive,/dashboard,,,Business rule,Clinic comparisons should be normalised where size or activity volume materially changes interpretation.,,,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,BRD business rule,P2,docs/architecture/prototype-parity/,
brdrule_3207b2441a64,public/pulse-html-prototype.html,,brd,M01,Executive,/dashboard,,,Business rule,Closed or archived items remain available in trend reports but do not appear in the active attention queue.,,,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,BRD business rule,P2,docs/architecture/prototype-parity/,
brdrule_a5973369980c,public/pulse-html-prototype.html,,brd,M01,Executive,/dashboard,,,Business rule,Users see only clinics and sensitive indicators allowed by their role.,,,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,BRD business rule,P2,docs/architecture/prototype-parity/,
brdvis_bc4dad3d1765,public/pulse-html-prototype.html,,brd,M01,Executive,/dashboard,,,Visual requirement,"KPI strip for overdue actions, roster gaps, pay readiness, incidents, checklist completion and expiring evidence.",,,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,BRD visual requirement; final PNG prevails where image exists,P2,docs/architecture/prototype-parity/,M01 dashboard
brdvis_4e1d1308be85,public/pulse-html-prototype.html,,brd,M01,Executive,/dashboard,,,Visual requirement,Clinic health cards with green/amber/red status plus plain-language reasons.,,,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,BRD visual requirement; final PNG prevails where image exists,P2,docs/architecture/prototype-parity/,M01 dashboard
brdvis_41dc7dbd3c71,public/pulse-html-prototype.html,,brd,M01,Executive,/dashboard,,,Visual requirement,"Top Risks table showing severity, owner, clinic, due date and days overdue.",,,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,BRD visual requirement; final PNG prevails where image exists,P2,docs/architecture/prototype-parity/,M01 dashboard
brdvis_53fe5c46ed14,public/pulse-html-prototype.html,,brd,M01,Executive,/dashboard,,,Visual requirement,Trend charts with comparison period selector and direct links to the relevant module.,,,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,BRD visual requirement; final PNG prevails where image exists,P2,docs/architecture/prototype-parity/,M01 dashboard
brdvis_8eaf35f28633,public/pulse-html-prototype.html,,brd,M01,Executive,/dashboard,,,Visual requirement,Role-sensitive quick actions so users do not see actions they cannot perform.,,,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,BRD visual requirement; final PNG prevails where image exists,P2,docs/architecture/prototype-parity/,M01 dashboard
brdout_871bb7bc15cd,public/pulse-html-prototype.html,,brd,M01,Executive,/dashboard,,,Output/measure,Executive operations summary,,,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,BRD output/measure,P2,docs/architecture/prototype-parity/,
brdout_d58cbc93d2c4,public/pulse-html-prototype.html,,brd,M01,Executive,/dashboard,,,Output/measure,Clinic health and benchmarking report,,,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,BRD output/measure,P2,docs/architecture/prototype-parity/,
brdout_18ba223b2609,public/pulse-html-prototype.html,,brd,M01,Executive,/dashboard,,,Output/measure,Top-risk and overdue-action report,,,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,BRD output/measure,P2,docs/architecture/prototype-parity/,
brdout_955df821c549,public/pulse-html-prototype.html,,brd,M01,Executive,/dashboard,,,Output/measure,Monthly management pack,,,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,BRD output/measure,P2,docs/architecture/prototype-parity/,
brdout_60a746b5c4e9,public/pulse-html-prototype.html,,brd,M01,Executive,/dashboard,,,Output/measure,Measure: percentage of red/amber items resolved within target,,,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,BRD output/measure,P2,docs/architecture/prototype-parity/,
brdout_707dfff4f9e4,public/pulse-html-prototype.html,,brd,M01,Executive,/dashboard,,,Output/measure,Measure: number of unexplained or ownerless exceptions (target zero),,,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,BRD output/measure,P2,docs/architecture/prototype-parity/,
brdmod_b96000f10881,public/pulse-html-prototype.html,"{""file"": ""public/pulse-html-prototype.html"", ""startOffset"": 504373, ""endOffset"": 629806, ""startLine"": 2870, ""endLine"": 2870}",brd,M02,Executive,/action-inbox,,Action Inbox & Notification Centre,BRD module M02: Action Inbox & Notification Centre,"Prevent important work from being lost in separate module screens or email. Every approval, failed check, overdue action, pay blocker, document review and high-risk alert should enter an owned queue with clear context and next steps.",,,,"All users for personal actions, Practice Managers, Operations Managers, Approvers, Owners",clinic-scoped-unless-stated,Receives action/approval/exception/notification projections,operational,,src/modules/m02-*/ + module-register,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,Deep/strong; match M02 final image; single cross-module queue,P2,docs/architecture/prototype-parity/,M02 master-detail queue
brdtab_120b38f77c59,public/pulse-html-prototype.html,"{""file"": ""public/pulse-html-prototype.html"", ""startOffset"": 504373, ""endOffset"": 629806, ""startLine"": 2870, ""endLine"": 2870}",brd,M02,Executive,/action-inbox,/action-inbox?section=My Actions — Items assigned directly to the logged-in user.,My Actions — Items assigned directly to the logged-in user.,Tab: My Actions — Items assigned directly to the logged-in user.,"Prevent important work from being lost in separate module screens or email. Every approval, failed check, overdue action, pay blocker, document review and high-risk alert should enter an owned queue with clear context and next steps.",My Actions — Items assigned directly to the logged-in user.,,,,clinic-scoped-unless-stated,,operational,,,,,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,FUNCTIONALLY-COMPLETE,OWNER-ACCEPTED,NOT-STARTED,ADOPTED-AS-IS,BRD tab retained in canonical screen register,P2,docs/architecture/prototype-parity/,M02 master-detail queue
